Location,Year,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65,Total,Footnotes
United States,2014,0.245,0.093,0.121,0.267,0.128,0.145,1.000,1
Alabama,2014,0.243,0.094,0.113,0.263,0.133,0.154,1.000,
Alaska,2014,0.272,0.109,0.131,0.261,0.131,0.096,1.000,
Arizona,2014,0.255,0.096,0.117,0.251,0.120,0.161,1.000,
Arkansas,2014,0.256,0.089,0.115,0.258,0.127,0.156,1.000,
California,2014,0.250,0.101,0.131,0.271,0.118,0.129,1.000,
Colorado,2014,0.247,0.094,0.133,0.271,0.127,0.128,1.000,
Connecticut,2014,0.231,0.084,0.110,0.283,0.139,0.154,1.000,
Delaware,2014,0.234,0.093,0.112,0.261,0.137,0.164,1.000,
District of Columbia,2014,0.188,0.104,0.213,0.271,0.109,0.115,1.000,
Florida,2014,0.217,0.088,0.111,0.261,0.131,0.192,1.000,
Georgia,2014,0.264,0.094,0.121,0.278,0.119,0.124,1.000,
Hawaii,2014,0.233,0.087,0.126,0.256,0.132,0.167,1.000,
Idaho,2014,0.278,0.094,0.114,0.246,0.124,0.144,1.000,
Illinois,2014,0.246,0.093,0.124,0.272,0.128,0.137,1.000,
Indiana,2014,0.254,0.093,0.116,0.266,0.130,0.142,1.000,
Iowa,2014,0.248,0.090,0.116,0.255,0.134,0.156,1.000,
Kansas,2014,0.266,0.095,0.119,0.251,0.128,0.141,1.000,
Kentucky,2014,0.243,0.091,0.113,0.271,0.134,0.148,1.000,
Louisiana,2014,0.256,0.098,0.126,0.256,0.128,0.136,1.000,
Maine,2014,0.204,0.079,0.102,0.274,0.160,0.182,1.000,
Maryland,2014,0.240,0.089,0.124,0.280,0.131,0.137,1.000,
Massachusetts,2014,0.221,0.092,0.123,0.279,0.135,0.150,1.000,
Michigan,2014,0.236,0.096,0.109,0.265,0.140,0.154,1.000,
Minnesota,2014,0.247,0.087,0.127,0.266,0.133,0.140,1.000,
Mississippi,2014,0.263,0.094,0.112,0.259,0.128,0.144,1.000,
Missouri,2014,0.243,0.091,0.120,0.261,0.133,0.152,1.000,
Montana,2014,0.231,0.096,0.111,0.245,0.151,0.167,1.000,
Nebraska,2014,0.266,0.089,0.122,0.252,0.128,0.143,1.000,
Nevada,2014,0.245,0.093,0.126,0.272,0.122,0.142,1.000,
New Hampshire,2014,0.217,0.085,0.103,0.286,0.153,0.157,1.000,
New Jersey,2014,0.239,0.085,0.114,0.285,0.131,0.145,1.000,
New Mexico,2014,0.254,0.102,0.115,0.244,0.133,0.153,1.000,
New York,2014,0.227,0.095,0.129,0.274,0.129,0.146,1.000,
North Carolina,2014,0.246,0.091,0.114,0.274,0.128,0.147,1.000,
North Dakota,2014,0.241,0.118,0.134,0.238,0.130,0.140,1.000,
Ohio,2014,0.241,0.089,0.114,0.265,0.138,0.153,1.000,
Oklahoma,2014,0.260,0.097,0.122,0.253,0.124,0.145,1.000,
Oregon,2014,0.227,0.087,0.125,0.262,0.139,0.160,1.000,
Pennsylvania,2014,0.225,0.087,0.116,0.265,0.142,0.166,1.000,
Rhode Island,2014,0.218,0.095,0.119,0.272,0.138,0.158,1.000,
South Carolina,2014,0.240,0.091,0.114,0.263,0.134,0.159,1.000,
South Dakota,2014,0.261,0.095,0.117,0.245,0.134,0.148,1.000,
Tennessee,2014,0.242,0.093,0.115,0.268,0.132,0.150,1.000,
Texas,2014,0.281,0.098,0.129,0.266,0.111,0.115,1.000,
Utah,2014,0.324,0.108,0.135,0.237,0.096,0.101,1.000,
Vermont,2014,0.207,0.085,0.107,0.271,0.160,0.171,1.000,
Virginia,2014,0.242,0.092,0.122,0.276,0.129,0.140,1.000,
Washington,2014,0.240,0.092,0.128,0.268,0.132,0.141,1.000,
West Virginia,2014,0.217,0.087,0.106,0.262,0.149,0.179,1.000,
Wisconsin,2014,0.238,0.092,0.115,0.267,0.137,0.151,1.000,
Wyoming,2014,0.248,0.093,0.129,0.253,0.143,0.135,1.000,
Puerto Rico,2014,0.233,0.104,0.106,0.260,0.123,0.174,1.000,
